oppervlak,WP,Xcoor,Ycoor,AREANR
5490,66,80755,452661,308
33327,163,86121,454204,984
6366,32,86326,453757,986
11920,58,86621,453730,988
5396,342,86031,453512,1001
14769,107,84394,450819,1044
5213,40,89777,463002,1209
37079,,96186,452724,1675
5247,91,95148,451940,1721
10152,972,94494,450870,1756
6683,23,94283,449996,1764
10392,65,88453,451775,2065
24046,189,86895,445355,2178
23549,442,85580,443784,2479
6171,17,81918,447852,2654
8242,49,82017,445957,2698
6412,63,79976,447830,2861
20256,181,79842,447599,2863
9953,307,74791,447338,2910
7665,46,74733,446622,2912
9561,755,75350,446056,2913
6458,44,75447,446574,2914
9715,258,75554,446276,2914
13167,43,75447,446574,2914
16890,25,75554,446276,2914
7313,40,75957,446032,2916
10824,79,75957,446032,2916
12612,34,75975,445898,2916
15353,20,75975,445898,2916
5923,15,75784,445678,2917
10000,138,75784,445678,2917
12420,69,75784,445678,2917
5799,2039,77142,443173,2974
15360,38,78056,442211,2975
18287,64,74923,442115,2985
36030,100,74923,442115,2985
8026,21,75189,441945,2986
5605,22,75437,441340,2987
9543,216,75713,441523,2988
5161,48,75657,440440,2990
8113,46,75657,440440,2990
6156,29,71664,446102,3140
7961,80,71698,448467,3212
6421,24,75709,449928,3284
38825,56,75629,450053,3284
5635,22,76039,449725,3286
6086,38,76039,449725,3286
6421,49,75809,449871,3286
9997,82,76039,449725,3286
5231,45,87538,438573,3375
19663,210,87463,438258,3375
5436,169,87014,438625,3376
7810,250,87172,438851,3376
19633,122,87172,438851,3376
6066,24,87727,436015,3404
5912,65,87848,437797,3478
10000,40,79319,430236,3541
10000,28,79319,430236,3541
10000,23,79319,430236,3541
10000,43,79319,430236,3541
16015,189,79319,430236,3541
6150,16,88156,431508,3840
6999,35,88718,431780,3840
9500,200,88118,431859,3840
14866,74,88304,431620,3840
15039,141,88156,431508,3840
23616,38,88118,431859,3840
25700,177,88584,431738,3840
5164,31,94460,431016,3903
7362,237,97374,430740,3955
29557,157,97157,430791,3955
29557,,97157,430791,3955
36666,432,97374,430740,3955
7244,132,97650,430362,3956
12015,27,97650,430362,3956
15926,81,97682,430047,3956
6674,346,98011,430143,3957
9845,,94735,428994,3993
19757,728,101458,433673,4119
6699,104,101649,432633,4135
13846,28,101697,432164,4136
12463,404,102017,432484,4137
5611,46,98038,430572,4169
7140,48,98038,430572,4169
8516,34,98038,430572,4169
6843,42,98254,430265,4170
33750,471,98254,430265,4170
26640,509,98534,435789,4259
6545,142,99522,441682,4306
5748,160,99890,441778,4307
5816,48,99548,441305,4308
9640,61,93507,443437,4539
83738,713,94620,444331,4557
11136,25,96627,449418,4593
5926,21,97007,447720,4596
25227,22,90787,443909,4604
12921,,96603,450395,4620
25999,,96569,450820,4623
7136,65,96575,451044,4628
6062,72,97196,449125,4634
10920,291,97416,449618,4634
12537,346,97641,449494,4634
15219,31,97196,449125,4634
39990,54,97196,449125,4634
5614,27,76257,437301,4711
30971,50,76706,439180,4724
5393,16,72532,434589,4798
7466,79,81269,435517,5000
6134,57,81229,435072,5001
11572,18,81414,435097,5001
33558,31,81176,435176,5001
21424,89,84716,435615,5009
18273,225,68929,428241,5126
5513,28,70880,428614,5155
5154,37,71429,428896,5187
27846,,89717,437862,5414
6357,469,91244,435205,5494
8795,69,87419,440014,5498
5813,28,87427,439833,5499
5475,199,87679,439394,5500
5459,51,86998,439956,5501
5908,53,86998,439956,5501
13176,161,86998,439956,5501
9645,35,88380,439081,5505
5563,22,92115,439644,5660
5608,20,97008,434809,6001
13371,238,92983,435243,6175
28885,18,94120,436564,6185
14525,49,94902,435912,6190
5487,41,93412,436376,6193
5802,28,91365,431068,6295
6522,168,90055,435011,6304
6053,104,90422,434845,6305
11974,92,87817,433639,6325
5514,109,86954,432282,6328
7064,116,86954,432282,6328
7416,56,86954,432282,6328
14291,145,88223,432003,6329
10216,25,89820,432303,6332
6026,61,89649,431987,6335
14044,35,89835,432226,6335
7155,86,87180,434474,6352
18377,251,82183,433368,6379
7272,65,84572,433606,6382
8243,18,85231,433379,6382
8703,27,85231,433379,6382
10263,62,85225,432040,6411
6033,20,85421,431831,6412
10037,357,85716,431744,6412
7047,58,78133,432697,6486
6512,34,77759,431932,6492
10087,32,77759,431932,6492
15578,23,77569,431805,6492
7819,116,77125,432041,6507
16335,51,76458,434325,6513
14659,140,74516,436101,6538
26287,46,60735,440189,6560
83556,140,60810,440558,6560
21028,51,70126,442927,6625
6201,45,90225,469163,6707
8589,39,89950,469063,6707
15659,91,89969,468849,6707
5025,30,90984,468210,6710
28601,295,91143,468271,6710
8883,99,91606,467197,6711
9248,21,91287,467097,6711
15241,196,91287,467097,6711
15459,71,91287,467097,6711
20192,183,91606,467197,6711
316098,194,91287,467097,6711
5189,48,95612,464347,6819
6795,89,95732,464417,6819
23933,290,89913,461015,6838
5065,110,95869,461441,6861
8049,287,95869,461441,6861
10970,325,95507,461871,6861
11596,38,103024,454912,6889
5020,32,98011,454480,6903
15086,30,98011,454480,6903
5267,137,105334,458413,6922
5872,,103360,460190,6925
6245,289,103887,460402,6925
6773,35,103581,460203,6925
7982,42,103494,460027,6925
11594,65,103493,459903,6925
14799,57,103661,459872,6925
5867,19,103860,460575,6926
6290,35,104059,461213,6926
7298,15,103914,461640,6926
13735,25,103665,460831,6926
14960,23,103665,460831,6926
21430,21,103880,461028,6926
36867,461,103437,460687,6926
65902,289,103457,460957,6926
11718,36,104413,462755,6932
43941,,105858,458926,6941
41371,45,106818,458801,6948
112633,38,101166,450248,6952
5660,17,102741,447981,6955
7254,35,103359,447570,6955
9018,187,103496,448008,6955
12745,49,102992,447748,6955
12749,62,103450,447708,6955
15736,34,103450,447708,6955
17096,204,102741,447981,6955
19959,160,102992,447748,6955
21322,409,102741,447981,6955
26122,33,103228,447532,6955
44576,241,102741,447981,6955
51950,113,103496,448008,6955
5853,281,104622,449166,6956
7416,31,104858,449133,6956
10134,31,105065,452250,6962
6357,26,100012,450437,6975
10056,43,101543,443533,6996
13797,15,101543,443533,6996
6017,38,102661,442332,7012
6682,29,105185,448024,7025
14370,37,104894,447678,7025
30739,157,104282,440419,7026
8874,146,107051,434762,7031
14274,191,112926,442033,7034
9257,19,117479,441179,7038
5296,44,113802,438127,7039
5310,54,104389,429215,7041
6360,70,104389,429215,7041
19850,306,104389,429215,7041
21178,143,101342,428207,7045
7016,19,97683,427215,7062
7838,60,100293,424832,7064
8138,65,100526,424910,7064
9198,26,100269,425071,7064
9260,20,100243,425121,7064
6010,20,101294,424288,7066
25754,226,101294,424288,7066
7345,19,92817,425527,7075
8070,43,101723,422267,7086
11509,147,89454,426821,7106
13653,20,89454,426821,7106
15661,224,89248,427323,7106
21733,129,89532,426607,7106
6100,15,97838,418641,7130
5127,20,75450,415973,7182
7945,61,71935,419547,7183
6508,28,73679,413200,7188
6686,31,67153,418854,7205
6114,34,92223,474967,7240
7835,148,94371,474439,7241
8706,36,94955,475464,7241
12875,36,96406,478149,7241
13350,26,93580,473634,7241
29140,45,96512,477156,7241
12588,17,98044,479419,7242
12714,33,98754,478176,7245
10878,16,99003,476283,7246
35634,656,98938,476056,7246
7127,35,97883,473813,7249
23943,36,97883,473813,7249
6891,36,96834,473846,7250
8736,68,97409,474090,7250
25140,46,96981,473425,7250
5506,42,95601,472802,7251
6697,39,93856,469654,7253
12632,50,94790,470194,7253
14967,,93856,469654,7253
33706,15,94619,469495,7253
5692,51,95251,470169,7254
6784,103,94341,467178,7256
11545,15,111468,469761,7271
5645,21,113527,463946,7279
5201,141,111111,453550,7281
5860,265,111458,453659,7281
11109,25,111458,453659,7281
11203,312,110951,453783,7281
6276,255,112888,453420,7282
21436,464,112888,453420,7282
6090,36,115190,454486,7283
22824,1166,107208,451750,7287
7781,18,109684,446767,7300
9157,104,109152,446642,7300
7819,34,108246,447548,7302
5560,42,127257,435420,7313
7446,30,135263,434230,7316
7145,22,127277,428871,7330
6708,42,128405,428316,7331
11060,97,127989,428247,7331
30740,115,129450,428025,7331
125957,20,128031,428949,7331
5438,70,125048,426956,7336
22434,150,124622,426948,7336
40991,332,124883,427494,7337
6205,30,123769,427254,7338
14762,63,123769,427254,7338
64951,85,123769,427254,7338
5147,80,115516,426191,7340
8564,42,117874,426490,7340
14044,19,119874,438914,7343
7093,103,118171,438808,7346
7280,45,118171,438808,7346
5319,59,105968,428459,7359
5600,16,105868,428826,7359
6400,106,105937,429118,7359
6634,25,106010,428590,7359
9737,102,105442,429009,7359
14433,46,105823,429819,7359
6972,702,109554,426419,7365
8756,39,109025,426414,7365
14500,87,111484,427264,7366
5406,72,109946,425193,7371
9190,24,107935,425970,7373
7758,20,103280,419828,7398
7415,31,103175,421719,7399
5835,54,102703,422869,7400
6380,66,103208,422213,7400
7023,18,103258,423797,7400
12500,74,103422,422860,7400
